Name of Initiative, Organization Name,Location Name,Location 1,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Telephone Number,NPI,Category,Unique ID
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"255 Hope St Mansfield, MA 02048 (42.033417, -71.210614)",255 Hope St,,Mansfield,MA,2048,(508) 261-7368,1689815383,Community Setting,245
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"40 Balcom St Mansfield, MA 02048 (41.998507, -71.247833)",40 Balcom St,,Mansfield,MA,2048,(774) 571-8029,1689815383,Administrative Location,249
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"1 Icehouse Rd Medfield, MA 02052 (42.199895, -71.326125)",1 Icehouse Rd,,Medfield,MA,2052,(508) 359-3665,1689815383,Community Setting,241
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"76 Oakland St Medway, MA 02053 (42.150996, -71.39228)",76 Oakland St,,Medway,MA,2053,(508) 533-3210,1689815383,Community Setting,260
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"900 Main St Millis, MA 02054 (42.166775, -71.358995)",900 Main St,,Millis,MA,2054,(508) 376-7051,1689815383,Community Setting,263
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"28 Medway Br Norfolk, MA 02056 (42.125074, -71.336881)",28 Medway Br,,Norfolk,MA,2056,(508) 528-4430,1689815383,Community Setting,246
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"219 Massapoag Ave Sharon, MA 02067 (42.094513, -71.169812)",219 Massapoag Ave,,Sharon,MA,2067,(781) 784-8000,1689815383,Community Setting,243
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Old Colony Ymca Wellness Services, Inc.","Old Colony Ymca Wellness Services, Inc.","445 Central St  Stoughton MA 2072 (42.130436, -71.082245)",445 Central St,,Stoughton,MA,2072,(781) 341-2016,1497385314,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"400 Taunton St Wrentham, MA 02093 (42.052501, -71.325814)",400 Taunton St,,Wrentham,MA,2093,(508) 384-5425,1689815383,Community Setting,251
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Old Colony Ymca Wellness Services, Inc.","Old Colony Ymca Wellness Services, Inc.","320 Main St  Brockton MA 2301 (42.078952, -71.019299)",320 Main St,,Brockton,MA,2301,(508) 583-2155,1497385314,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Old Colony Ymca Wellness Services, Inc.","Old Colony Ymca Wellness Services, Inc.","635 Plymouth St  East Bridgewater MA 2333 (42.015148, -70.941005)",635 Plymouth St,,East Bridgewater,MA,2333,(508) 378-3913,1497385314,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Old Colony Ymca Wellness Services, Inc.","Old Colony Ymca Wellness Services, Inc.","61 E Grove St  Middleboro MA 2346 (41.881664, -70.90623)",61 E Grove St,,Middleboro,MA,2346,(508) 947-1390,1497385314,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Old Colony Ymca Wellness Services, Inc.","Old Colony Ymca Wellness Services, Inc.","25 Elm St  North Easton MA 2356 (42.070585, -71.103984)",25 Elm St,,North Easton,MA,2356,(508) 238-9758,1497385314,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Old Colony Ymca Wellness Services, Inc.","Old Colony Ymca Wellness Services, Inc.","2 Greenside Way S  Plymouth MA 2360 (41.828969, -70.621057)",2 Greenside Way S,,Plymouth,MA,2360,(508) 927-3100,1497385314,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"24 Elm St North Attleboro, MA 02760 (41.981879, -71.331711)",24 Elm St,,North Attleboro,MA,2760,(508) 699-0100,1689815383,Community Setting,244
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"300 Elmwood St North Attleboro, MA 02760 (41.999128, -71.318868)",300 Elmwood St,,North Attleboro,MA,2760,(508) 695-7001,1689815383,Administrative Location,247
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"9 School St Plainville, MA 02762 (42.006079, -71.335465)",9 School St,,Plainville,MA,2762,(508) 699-7384,1689815383,Community Setting,262
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Old Colony Ymca Wellness Services, Inc.","Old Colony Ymca Wellness Services, Inc.","71 Cohannet St  Taunton MA 2780 (41.901363, -71.096831)",71 Cohannet St,,Taunton,MA,2780,(508) 823-3320,1497385314,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,The Granite Ymca,"116 Goffstown Back Rd  Goffstown NH 3045 (43.020013, -71.531736)",116 Goffstown Back Rd,,Goffstown,NH,3045,(603) 232-8650,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,The Granite Ymca,"206 Rockingham Rd  Londonderry NH 3053 (42.916605, -71.390586)",206 Rockingham Rd,,Londonderry,NH,3053,(603) 232-8650,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,Ymca Of Greater Nashua,"24 Stadium Dr  Nashua NH 3062 (42.746979, -71.504919)",24 Stadium Dr,,Nashua,NH,3062,(603) 882-2011,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Southern New Hampshire Medical Center,Southern New Hampshire Medical Center,"29 Northwest Blvd Nashua, NH 03063 (42.799687, -71.544663)",29 Northwest Blvd,,Nashua,NH,3063,(603) 577-2000,1598700940,Administrative Location,622
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,The Granite Ymca,"117 Market St  Manchester NH 3101 (42.990939, -71.46565)",117 Market St,,Manchester,NH,3101,(603) 232-8650,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,The Granite Ymca,"30 Mechanic St  Manchester NH 3101 (42.992044, -71.463821)",30 Mechanic St,,Manchester,NH,3101,(603) 232-8650,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Catholic Medical Center,Catholic Medical Center,"195 Mcgregor St Manchester, NH 03102 (42.992725, -71.47295)",195 Mcgregor St,Ste 312,Manchester,NH,3102,(603) 663-6431,1528150273,Administrative Location,50
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Concord Hospital Inc,Concord Hospital Inc,"250 Pleasant St Concord, NH 03301 (43.196329, -71.562366)",250 Pleasant St,Concord Hospital,Concord,NH,3301,(603) 227-7000,1194778571,Administrative Location,87
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Concord Hospital Inc,Concord Hospital Inc,"49 S. Main St Concord, NH 03301 (43.201517, -71.534242)",49 S. Main St,Center For Health Promotion,Concord,NH,3301,(603) 227-7300,1194778571,Administrative Location,88
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,The Granite Ymca,"15 N State St  Concord NH 3301 (43.204886, -71.538045)",15 N State St,,Concord,NH,3301,(603) 232-8650,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,Keene Family Ymca,"200 Summit Rd  Keene NH 3431 (42.949676, -72.328297)",200 Summit Rd,,Keene,NH,3431,(603) 352-6002,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Good Measures,"Good Measures, Llc","15 Rye St Portsmouth, NH 03801 (43.082073, -70.797674)",15 Rye St,Ste 305,Portsmouth,NH,3801,(888) 320-1776,1427487917,Administrative Location,187
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,The Granite Ymca,"550 Peverly Hill Rd  Portsmouth NH 3801 (43.051296, -70.775651)",550 Peverly Hill Rd,,Portsmouth,NH,3801,(603) 232-8650,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Granite Ymca,The Granite Ymca,"35 Industrial Way  Rochester NH 3867 (43.311719, -71.001474)",35 Industrial Way,,Rochester,NH,3867,(603) 232-8650,1699377119,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Eastport Health Care, Inc.",Eastport Health Care Inc,"30 Boynton St Eastport, ME 04631 (44.905267, -66.98783)",30 Boynton St,,Eastport,ME,4631,(207) 853-6001,1093752917,Administrative Location,150
Medicare Diabetes Prevention Program (MDPP) Expanded Model,City Of Caribou,Cary Medical Center,"163 Van Buren Rd Caribou, ME 04736 (46.878237, -68.009639)",163 Van Buren Rd,Ste 1,Caribou,ME,4736,(207) 498-3111,1780615492,Administrative Location,73
Medicare Diabetes Prevention Program (MDPP) Expanded Model,City Of Caribou,Cary Medical Center,"163 Van Buren Rd Caribou, ME 04736 (46.878237, -68.009639)",163 Van Buren Rd,Ste 1,Caribou,ME,4736,(207) 498-3111,1780615492,Community Setting,74
Medicare Diabetes Prevention Program (MDPP) Expanded Model,City Of Caribou,Cary Medical Center,"24 Sweden St Caribou, ME 04736 (46.860328, -68.013107)",24 Sweden St,,Caribou,ME,4736,(207) 498-1272,1780615492,Community Setting,75
Medicare Diabetes Prevention Program (MDPP) Expanded Model,City Of Caribou,Cary Medical Center,"55 Bennett Dr Caribou, ME 04736 (46.864422, -68.004882)",55 Bennett Dr,,Caribou,ME,4736,(207) 493-4224,1780615492,Community Setting,77
Medicare Diabetes Prevention Program (MDPP) Expanded Model,City Of Caribou,Cary Medical Center,"39 2nd St Presque Isle, ME 04769 (46.680797, -68.014216)",39 2nd St,,Presque Isle,ME,4769,(207) 498-1112,1780615492,Community Setting,76
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Penobscot Bay Medical Center,Penobscot Bay Medical Center,"731 Commercial St Rockport, ME 4856 (44.153131, -69.086433)",731 Commercial St,,Rockport,ME,4856,(207) 921-3999,1982645305,Administrative Location,521
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Prospect Manchester Hospital, Inc.","Prospect Manchester Hospital, Inc.","71 Haynes St  Manchester CT 6040 (41.78181, -72.525709)",71 Haynes St,,Manchester,CT,6040,(860) 647-6824,1821695222,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Monitor My Health, Inc.","Monitor My Health, Inc.","1000 Lafayette Blvd Bridgeport, CT 06604 (41.176093, -73.192706)",1000 Lafayette Blvd,Ste 1100,Bridgeport,CT,6604,(203) 683-5946,1760968598,Administrative Location,361
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Korean Community Services Of Metropolitan New York, Inc.","Korean Community Services Of Metropolitan New York, Inc.","2460 Lemoine Ave Fort Lee, NJ 07024 (40.864414, -73.961841)",2460 Lemoine Ave,,Fort Lee,NJ,7024,(201) 630-0068,1720426257,Administrative Location,895
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Cooperman Barnabas Medical Center Inc.,Saint Barnabas Medical Center,"200 S Orange Ave # 123 Center For Diabetes Wellness & Prevention Livingston NJ 7039 (40.77293, -74.35601)",200 S Orange Ave # 123,Center For Diabetes Wellness & Prevention,Livingston,NJ,7039,(973) 322-7436,1396857488,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Senior Solution Agency Llc,Senior Solution Agency Llc,"7 Broad Ave Palisades Park, NJ 07650 (40.842417, -74.001817)",7 Broad Ave,Ste 206,Palisades Park,NJ,7650,(908) 720-5612,1144772872,Administrative Location,928
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Senior Solution Agency Llc,Senior Solution Agency Llc,"7 Broad Ave Palisades Park, NJ 07650 (40.842417, -74.001817)",7 Broad Ave,Ste 206,Palisades Park,NJ,7650,(908) 720-5612,1144772872,Community Setting,929
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Holy Name Medical Center Inc,Holy Name Medical Center Inc,"718 Teaneck Rd Teaneck, NJ 07666 (40.882377, -74.008629)",718 Teaneck Rd,Holy Name Medical Center,Teaneck,NJ,7666,(201) 227-6275,1104859131,Administrative Location,265
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Monitor My Health, Inc.","Monitor My Health, Inc.","55 Madison Ave Morristown, NJ 07960 (40.788283, -74.467664)",55 Madison Ave,Ste 400,Morristown,NJ,7960,(203) 683-5946,1760968598,Administrative Location,907
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Betances Health Center,Betances Health Center,"280 Henry St  New York NY 10002 (40.71383, -73.983674)",280 Henry St,,New York,NY,10002,(212) 227-8401,1437776507,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Weill Medical College Of Cornell,Nyp/Wcm Diabetes Prevention Program,"505 East 70th Street 4th Floor - Hemsley Tower New York NY 10021 (40.765437, -73.954116)",505 East 70th Street,4th Floor - Hemsley Tower,New York,NY,10021,(212) 746-2882,1508513037,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,New York City Health And Hospitals Corporation,New York City Health And Hospitals Corporation,"1901 1st Ave New York, NY 10029 (40.78472, -73.943636)",1901 1st Ave,,New York,NY,10029,(212) 423-8830,1235764622,Administrative Location,917
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Open Door Family Medical Center Inc,Open Door Family Medical Center Inc,"155 Main St  Brewster NY 10509 (41.395553, -73.609688)",155 Main St,,Brewster,NY,10509,(914) 502-1325,1487194155,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Monitor My Health, Inc.",Monitor My Health Inc,"7 Skyline Dr Hawthorne, NY 10532 (41.091151, -73.813189)",7 Skyline Dr,Ste 350,Hawthorne,NY,10532,(203) 683-5946,1760968598,Administrative Location,900
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Open Door Family Medical Center Inc,Open Door Family Medical Center Inc,"689 Mamaroneck Ave  Mamaroneck NY 10543 (40.95538, -73.738351)",689 Mamaroneck Ave,,Mamaroneck,NY,10543,(914) 502-1328,1487194155,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Open Door Family Medical Center Inc,Open Door Family Medical Center Inc,"30 W Main St  Mount Kisco NY 10549 (41.209301, -73.730014)",30 W Main St,,Mount Kisco,NY,10549,(914) 502-1328,1487194155,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Open Door Family Medical Center Inc,Open Door Family Medical Center Inc,"165 Main St  Ossining NY 10562 (41.161455, -73.862482)",165 Main St,,Ossining,NY,10562,(914) 502-1325,1487194155,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Open Door Family Medical Center Inc,Open Door Family Medical Center Inc,"5 Grace Church St  Port Chester NY 10573 (40.997623, -73.665152)",5 Grace Church St,,Port Chester,NY,10573,(914) 502-1328,1487194155,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Open Door Family Medical Center Inc,Open Door Family Medical Center Inc,"300 N Broadway  Sleepy Hollow NY 10591 (41.086445, -73.858547)",300 N Broadway,,Sleepy Hollow,NY,10591,(914) 502-1325,1487194155,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Mocombe Lucien D Md Pc,Lucien D Mocombe Md Pc,"3016 Glenwood Rd Brooklyn, NY 11210 (40.634039, -73.947102)",3016 Glenwood Rd,,Brooklyn,NY,11210,(718) 859-2525,1992993612,Administrative Location,359
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Palette Care Inc,Palette Care Inc,"101 Saint Felix St  Brooklyn NY 11217 (40.686503, -73.977163)",101 Saint Felix St,,Brooklyn,NY,11217,(913) 742-3366,1407487499,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Palette Care Inc,Palette Care Inc,"924 Rogers Ave  Brooklyn NY 11226 (40.647635, -73.95231)",924 Rogers Ave,,Brooklyn,NY,11226,(913) 742-3366,1407487499,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Korean Community Services Of Metropolitan New York, Inc.",,"20305 32nd Ave Bayside, NY 11361 (40.770621, -73.786238)",20305 32nd Ave,,Bayside,NY,11361,(718) 939-6137,1720426257,Administrative Location,310
Medicare Diabetes Prevention Program (MDPP) Expanded Model,South Nassau Communities Hospital,Conemaugh Memorial Medical Center,"2277 Grand Ave Baldwin, NY 11510 (40.655001, -73.610325)",2277 Grand Ave,,Baldwin,NY,11510,(516) 497-7500,1922079094,Administrative Location,621
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Romaxter Llc,Romaxter Llc,"74 Hauppauge Rd Rm 1 Commack NY 11725 (40.829157, -73.303311)",74 Hauppauge Rd,Rm 1,Commack,NY,11725,(631) 462-9800 x 125,1801314984,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Brookhaven Memorial Hospital Medical Center, Inc","Brookhaven Memorial Hospital Medical Center, Inc","103 W Main St Patchogue, NY 11772 (40.765849, -73.017653)",103 W Main St,,Patchogue,NY,11772,(631) 687-4188,1306350715,Administrative Location,854
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Harbor View Medical Services Pc,Harbor View Medical Services Pc,"125 Oakland Ave Port Jefferson, NY 11777 (40.936334, -73.054083)",125 Oakland Ave,Ste 203,Port Jefferson,NY,11777,(631) 686-2551,1588070403,Administrative Location,218
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Harbor View Medical Services Pc,Harbor View Medical Services Pc,"75 N Country Rd  Port Jefferson NY 11777 (40.939256, -73.054385)",75 N Country Rd,,Port Jefferson,NY,11777,(631) 686-2551,1588070403,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Romaxter Llc,Romaxter Llc,"4 Oshea Ln  Saint James NY 11780 (40.868424, -73.161982)",4 Oshea Ln,,Saint James,NY,11780,(516) 408-0333,1801314984,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Harbor View Medical Services Pc,Harbor View Medical Services Pc,"2500 Nesconset Hwy Bldg 16 Unit 62 Stony Brook NY 11790 (40.879996, -73.115482)",2500 Nesconset Hwy,Bldg 16 Unit 62,Stony Brook,NY,11790,(631) 686-2551,1588070403,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"St. Peter'S Health Partners Medical Associates, P.C.","St. Peter'S Health Partners Medical Associates, P.C.","63 Shaker Rd Ste 201 Albany NY 12204 (42.673299, -73.748816)",63 Shaker Rd,Ste 201,Albany,NY,12204,(518) 471-3636,1750626834,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Adirondack Medical Center,Adirondack Health,"2233 State Route 86 Saranac Lake, NY 12983 (44.344548, -74.144597)",2233 State Route 86,,Saranac Lake,NY,12983,(518) 897-2724,1699709576,Administrative Location,4
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Madison County Rural Health Council Inc,Madison County Rural Health Council Inc,"2119 W Genesee Street Rd  Auburn NY 13021 (42.918695, -76.600105)",2119 W Genesee Street Rd,,Auburn,NY,13021,(315) 252-4212,1144792052,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Madison County Rural Health Council Inc,Madison County Rural Health Council Inc,"10 Kennedy Pkwy  Cortland NY 13045 (42.6104, -76.163719)",10 Kennedy Pkwy,,Cortland,NY,13045,(607) 756-4198,1144792052,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Mary Imogene Bassett Hospital,Mary Imogene Bassett Hospital,"1 Atwell Rd  Cooperstown NY 13326 (42.695253, -74.923335)",1 Atwell Rd,,Cooperstown,NY,13326,(607) 547-3456,1497350821,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Madison County Rural Health Council Inc,Madison County Rural Health Council Inc,"100 Eaton St Morrisville, NY 13408 (42.893252, -75.644863)",100 Eaton St,,Morrisville,NY,13408,(315) 454-2108,1144792052,Administrative Location,322
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Faxton - St Lukes Healthcare,Central Ny Diabetes Education,"1676 Sunset Ave Utica, NY 13502 (43.090372, -75.258346)",1676 Sunset Ave,,Utica,NY,13502,(315) 624-5620,1770690737,Administrative Location,162
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Young Mens Christian Association Of Watertown Ny Inc,Watertown Family Ymca,"119 Washington St Watertown, NY 13601 (43.97407, -75.91081)",119 Washington St,,Watertown,NY,13601,(315) 782-3100,1558806034,Administrative Location,712
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Frank R Laurri Md & Associates Pc,Frank R Laurri Md & Associates Pc,"13500 Broadway St  Alden NY 14004 (42.900382, -78.484218)",13500 Broadway St,,Alden,NY,14004,(716) 261-1474,1902563646,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,United Memorial Medical Center,United Memorial Medical Center,"16 Bank St Batavia, NY 14020 (42.99868, -78.181609)",16 Bank St,,Batavia,NY,14020,(585) 815-6715,1669747085,Administrative Location,719
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Frank R Laurri Md & Associates Pc,Frank R Laurri Md & Associates Pc,"9097 Main St  Clarence NY 14031 (42.968652, -78.65221)",9097 Main St,,Clarence,NY,14031,(716) 261-1474,1902563646,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Western New York Integrated Care Collaborative, Inc.",Lockport Ymca,"5833 Snyder Dr  Lockport NY 14094 (43.144138, -78.691149)",5833 Snyder Dr,,Lockport,NY,14094,(716) 431-5100,1881101954,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Frank R Laurri Md & Associates Pc,Frank R Laurri Md & Associates Pc,"3065 Southwestern Blvd Ste 102 Orchard Park NY 14127 (42.800893, -78.741849)",3065 Southwestern Blvd,Ste 102,Orchard Park,NY,14127,(716) 261-1474,1902563646,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Robert Erickson Do And Jennifer Erickson Do Llc,Inspired Health Group,"3671 Southwestern Blvd Ste 101 Orchard Park NY 14127 (42.781923, -78.771813)",3671 Southwestern Blvd,Ste 101,Orchard Park,NY,14127,(716) 667-2673,1386277366,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Bertrand Chaffee Hospital,Bertrand Chaffee Hospital,"224 E Main St Springville, NY 14141 (42.508484, -78.659235)",224 E Main St,,Springville,NY,14141,(716) 592-9643,1275553521,Administrative Location,21
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Western New York Integrated Care Collaborative, Inc.",William Emslie Ymca,"585 William St  Buffalo NY 14206 (42.884613, -78.849293)",585 William St,,Buffalo,NY,14206,(716) 431-5100,1881101954,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Western New York Integrated Care Collaborative, Inc.",Northwest Buffalo Community Center,"155 Lawn Ave  Buffalo NY 14207 (42.950269, -78.887564)",155 Lawn Ave,,Buffalo,NY,14207,(716) 431-5100,1881101954,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Western New York Integrated Care Collaborative, Inc.",Wny Integrated Care Collaborative,"742 Delaware Ave Buffalo, NY 14209 (42.904197, -78.872448)",742 Delaware Ave,,Buffalo,NY,14209,(716) 887-2749,1881101954,Administrative Location,737
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Western New York Integrated Care Collaborative, Inc.",Ymca Buffalo Independent,"150 Tech Dr  Amherst NY 14221 (42.961731, -78.718126)",150 Tech Dr,,Amherst,NY,14221,(716) 431-5100,1881101954,,
