"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY NONPROFIT","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT","SUBGROUP - GENERAL","SUBGROUP - ACUTE CARE","SUBGROUP - ALCOHOL DRUG","SUBGROUP - CHILDRENS","SUBGROUP - LONG-TERM","SUBGROUP - PSYCHIATRIC","SUBGROUP - REHABILITATION","SUBGROUP - SHORT-TERM","SUBGROUP - SWING-BED APPROVED","SUBGROUP - PSYCHIATRIC UNIT","SUBGROUP - REHABILITATION UNIT","SUBGROUP - SPECIALTY HOSPITAL","SUBGROUP - OTHER","SUBGROUP - OTHER TEXT","REH CONVERSION FLAG","REH CONVERSION DATE","CAH OR HOSPITAL CCN"
O20021001000010,KY,00-09,PART A PROVIDER - HOSPITAL,1962402719,N,182003,3072420751,SELECT SPECIALTY HOSPITAL - LEXINGTON INC,SELECT SPECIALTY HOSPITAL - CENTRAL KENTUCKY,06/12/2002,DE,CORPORATION,,P,217 S 3RD ST,FL 4,DANVILLE,KY,404221823,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20021002000017,CA,00-09,PART A PROVIDER - HOSPITAL,1801861190,N,050128,3274440979,TRI CITY HOSPITAL,TRI CITY MEDICAL CENTER,12/10/1957,CA,OTHER,HOSPITAL DISTRICT,N,4002 VISTA WAY,,OCEANSIDE,CA,920564506,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021003000011,MT,00-09,PART A PROVIDER - HOSPITAL,1639109978,N,270086,5890602494,"CMSC, LLC",GREAT FALLS CLINIC HOSPITAL,06/14/2013,MT,LLC,,P,3010 15TH AVE S,,GREAT FALLS,MT,594055240,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021004000000,TX,00-09,PART A PROVIDER - HOSPITAL,1700805678,N,450833,8921915521,PRHC ENNIS LP,ENNIS REGIONAL MEDICAL CENTER,08/05/1999,TX,PARTNERSHIP,,P,2201 WEST LAMPASAS STREET,,ENNIS,TX,751195644,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021007000032,TX,00-09,PART A PROVIDER - HOSPITAL,1881688976,N,450855,5395652911,HARLINGEN MEDICAL CENTER LIMITED PARTNERSHIP,HARLINGEN MEDICAL CENTER,06/01/1999,NC,PARTNERSHIP,,P,5501S EXPRESSWAY 77,,HARLINGEN,TX,785503213,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021009000006,NY,00-09,PART A PROVIDER - HOSPITAL,1871606764,N,330191,8325955974,GLENS FALLS HOSPITAL INC,,10/01/1897,NY,CORPORATION,,N,100 PARK ST,,GLENS FALLS,NY,128014413,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,ACUTE REHABILITATION AS AN EXCLUDED UNIT,N,,
O20021011000002,WI,00-09,PART A PROVIDER - HOSPITAL,1447250105,N,522006,0547177123,"SELECT SPECIALTY HOSPITAL - MILWAUKEE, INC.",SELECT SPECIALTY HOSPITAL MILWAUKEE,10/15/1998,DE,CORPORATION,,P,8901 W LINCOLN AVE # 2,,WEST ALLIS,WI,532272409,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20021015000013,CA,00-09,PART A PROVIDER - HOSPITAL,1275694184,Y,053300,3476461070,VALLEY CHILDRENS HOSPITAL,,08/04/1949,CA,CORPORATION,,N,9300 VALLEY CHILDRENS PL,,MADERA,CA,936368761,OTHER HOSPITAL PRACTICE LOCATION,GENERAL ACUTE CARE HOSPITAL,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,,
O20021017000008,ME,00-09,PART A PROVIDER - HOSPITAL,1699776146,N,204004,7517875131,STATE OF MAINE,DOROTHEA DIX PSYCHIATRIC CENTER,,,OTHER,STATE MENTAL HEALTH AGENCY,N,"656 STATE ST, STATE OF MAINE",,BANGOR,ME,044020926,HOSPITAL PSYCHIATRIC UNIT,,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,,
O20021018000014,TX,00-09,PART A PROVIDER - HOSPITAL,1447250253,N,450021,9830007467,BAYLOR UNIVERSITY MEDICAL CENTER,,10/21/1981,TX,CORPORATION,,N,3500 GASTON AVE,,DALLAS,TX,752462017,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021021000020,NY,00-09,PART A PROVIDER - HOSPITAL,1376546440,Y,330215,9638087273,"ROME MEMORIAL HOSPITAL, INC.",,12/23/1994,NY,CORPORATION,,N,1500N JAMES ST,,ROME,NY,134402844,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,,N,,
O20021022000016,TX,00-09,PART A PROVIDER - HOSPITAL,1073511762,N,450563,2668380221,BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,08/21/1981,TX,CORPORATION,,N,1650 W COLLEGE ST,,GRAPEVINE,TX,760513565,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021022000020,TX,00-09,PART A PROVIDER - HOSPITAL,1992700983,Y,450079,9436067097,BAYLOR MEDICAL CENTER AT IRVING,BAYLOR SCOTT & WHITE MEDICAL CENTER - IRVING,02/24/1995,TX,CORPORATION,,N,1901 N MACARTHUR BLVD,,IRVING,TX,750612220,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021023000005,TX,00-09,PART A PROVIDER - HOSPITAL,1669472387,N,450137,9830007418,BAYLOR ALL SAINTS MEDICAL CENTER,BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER - FORT WORTH,02/15/1900,TX,CORPORATION,,N,1400 8TH AVE,,FORT WORTH,TX,761044110,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,,N,,
O20021024000010,ME,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1659388213,N,201301,1557279031,CHARLES A. DEAN MEMORIAL HOSPITAL,CHARLES A DEAN MEMORIAL HOSPITAL,08/11/1917,ME,CORPORATION,,N,364 PRITHAM AVE,,GREENVILLE,ME,044417214,,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021025000024,IA,00-09,PART A PROVIDER - HOSPITAL,1508862012,N,160124,0941118442,LAKES REGIONAL HEALTHCARE,LAKES REGIONAL HEALTHCARE,,,OTHER,GOVERNMENTAL ENTITY,N,2301 HIGHWAY 71,,SPIRIT LAKE,IA,513601184,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021028000028,SD,00-09,PART A PROVIDER - HOSPITAL,1457309270,N,430014,6406764927,AVERA ST LUKES,AVERA ST. LUKE'S,06/17/1998,SD,CORPORATION,,N,305 S STATE ST,,ABERDEEN,SD,574014527,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021029000004,SC,00-09,PART A PROVIDER - HOSPITAL,1104890862,N,423029,5193633618,"ANMED ENCOMPASS HEALTH REHABILITATION HOSPITAL, LLC",ANMED HEALTH REHABILITATION HOSPITAL,,,LLC,,P,1 SPRING BACK WAY,,ANDERSON,SC,296212676,OTHER HOSPITAL PRACTICE LOCATION,MAIN HOSPITAL IRF,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,,
O20021030000000,OH,00-09,PART A PROVIDER - HOSPITAL,1801884655,Y,360025,6103734645,FIRELANDS REGIONAL MEDICAL CENTER,FIRELANDS PROFESSIONAL CENTER,02/25/1919,OH,CORPORATION,,N,1111 HAYES AVE,,SANDUSKY,OH,448703323,OTHER HOSPITAL PRACTICE LOCATION,ACUTE CARE HOSPITAL,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,,N,,
O20021105000002,IN,00-09,PART A PROVIDER - HOSPITAL,1982681748,N,150153,6800704271,ST VINCENT HEART CENTER OF INDIANA LLC,ASCENSION ST VINCENT HEART CENTER,03/21/2002,IN,LLC,,P,10580 N MERIDIAN ST,,CARMEL,IN,462901028,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,,
O20021107000009,TX,00-09,PART A PROVIDER - HOSPITAL,1760482939,N,452038,1355259748,NEURO INSTITUTE OF AUSTIN LP,TEXAS NEUROREHAB CENTER,10/15/2001,TX,OTHER,LIMITED PARTNERSHIP,P,1106 W DITTMAR RD,TEXAS NEUROREHAB CENTER,AUSTIN,TX,787456328,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20021107000016,MI,00-09,PART A PROVIDER - HOSPITAL,1831116441,N,230017,0244148633,BRONSON METHODIST HOSPITAL,BRONSON METHODIST HOSPITAL,04/12/1920,MI,CORPORATION,,N,601 JOHN ST,,KALAMAZOO,MI,490075341,OTHER HOSPITAL PRACTICE LOCATION,ACUTE CARE HOSPITAL,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021108000000,GA,00-09,PART A PROVIDER - HOSPITAL,1376574277,N,110005,9830007236,NORTHSIDE HOSPITAL INC,NORTHSIDE HOSPITAL FORSYTH,07/25/1991,GA,CORPORATION,,N,1200 NORTHSIDE FORSYTH DRIVE,,CUMMING,GA,300417659,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,,N,,
O20021108000010,WV,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1598736159,N,511317,2062320468,OAK HILL HOSPITAL CORPORATION,PLATEAU MEDICAL CENTER,03/04/2002,WV,CORPORATION,,P,430 MAIN STREET W,,OAK HILL,WV,259013414,,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021109000000,NC,00-09,PART A PROVIDER - HOSPITAL,1477591055,N,340091,6204744600,THE MOSES H CONE MEMORIAL HOSPITAL OPERATING CORPORATION,CONE HEALTH,01/25/1985,NC,CORPORATION,,N,1200 NORTH ELM STREET,,GREENSBORO,NC,274011020,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,,N,,
O20021111000009,VT,00-09,PART A PROVIDER - HOSPITAL,1568419976,N,470003,3779491071,UNIVERSITY OF VERMONT MEDICAL CENTER INC,UNIVERSITY OF VERMONT MEDICAL CENTER,01/01/1995,VT,CORPORATION,,N,111 COLCHESTER AVE,,BURLINGTON,VT,054011473,OTHER HOSPITAL PRACTICE LOCATION,HOSPITAL - GENERAL PRACTICE AND CLINICS,N,Y,N,N,N,N,N,N,N,N,N,N,Y,ORGAN TRANSPLANT PROGRAM,N,,
O20021113000024,MT,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1497754782,N,271334,0042128480,LIBERTY COUNTY HOSPITAL AND NURSING HOME INC,LIBERTY MEDICAL CENTER,01/16/1998,MT,CORPORATION,,N,315 W MADISON AVE,,CHESTER,MT,595227801,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021115000002,TN,00-09,PART A PROVIDER - HOSPITAL,1295780476,N,440006,5991613341,HTI MEMORIAL HOSPITAL CORPORATION,TRISTAR SKYLINE MEDICAL CENTER,12/06/1993,TN,CORPORATION,,P,3441 DICKERSON PIKE,,NASHVILLE,TN,372072539,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021115000012,UT,00-09,PART A PROVIDER - HOSPITAL,1538178801,N,460007,1850209420,IHC HEALTH SERVICES INC,CEDAR CITY HOSPITAL,04/01/1975,UT,CORPORATION,,N,1303 N MAIN ST,,CEDAR CITY,UT,847219746,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021116000007,NC,00-09,PART A PROVIDER - HOSPITAL,1164495255,N,340143,0547178907,CATAWBA VALLEY MEDICAL CENTER,CATAWBA MEMORIAL HOSPITAL,,,OTHER,ENTITY OF CATAWBA COUNTY,N,810 FAIRGROVE CHURCH RD,,HICKORY,NC,286029617,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,,N,,
O20021120000013,TX,00-09,PART A PROVIDER - HOSPITAL,1033114608,N,450860,7810805199,"MEMORIAL HERMANN SUGAR LAND SURGICAL HOSPITAL, LLP",MEMORIAL HERMANN SURGICAL HOSPITAL FIRST COLONY,04/30/2002,TX,OTHER,LIMITED LIABILITY PARTNERSHIP,P,16906 SOUTHWEST FWY,,SUGAR LAND,TX,774792350,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021120000030,MO,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1932117173,N,261315,1951219237,PARKLAND HEALTH CENTER,PARKLAND HEALTH CENTER - BONNE TERRE,06/01/1993,MO,CORPORATION,,N,7245 RAIDER RD,,BONNE TERRE,MO,636283767,,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021121000033,ID,00-09,PART A PROVIDER - HOSPITAL,1669462362,N,130065,4486562774,MOUNTAIN VIEW HOSPITAL LLC,MOUNTAIN VIEW HOSPITAL,05/05/2010,DE,LLC,,P,2325 CORONADO ST,,IDAHO FALLS,ID,834047407,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021123000000,TN,00-09,PART A PROVIDER - HOSPITAL,1699765453,N,440060,2860300167,"MILAN GENERAL HOSPITAL, INC.",WEST TENNESSEE HEALTHCARE MILAN HOSPITAL,08/24/1998,TN,CORPORATION,,N,4039 S HIGHLAND ST,,MILAN,TN,383583483,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,,N,,
O20021125000001,IN,00-09,PART A PROVIDER - HOSPITAL,1144266024,N,150056,2365350675,INDIANA UNIVERSITY HEALTH INC,INDIANA UNIVERSITY HEALTH,06/16/1995,IN,CORPORATION,,N,1701 N SENATE BLVD,,INDIANAPOLIS,IN,462021239,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021127000007,CA,00-09,PART A PROVIDER - HOSPITAL,1104906569,N,050060,3173430865,FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER,COMMUNITY REGIONAL MEDICAL CENTER,07/13/1945,CA,CORPORATION,,N,2823 FRESNO ST,,FRESNO,CA,937211324,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021202000033,OR,00-09,PART A PROVIDER - HOSPITAL,1477590198,N,380027,9234047697,"MERCY MEDICAL CENTER, INC.",MERCY MEDICAL CENTER,07/06/1973,OR,CORPORATION,,N,2700 NW STEWART PKWY,,ROSEBURG,OR,974711281,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,,N,,
O20021202000038,TX,00-09,PART A PROVIDER - HOSPITAL,1548294424,N,030073,4284542531,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY INDIAN MEDICAL CENTER,01/19/2001,AZ,CORPORATION,,N,167 NORTH-MAIN-STREET P O-BOX-600,,TUBA CITY,AZ,86045,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021209000018,AK,00-09,PART A PROVIDER - HOSPITAL,1396705539,N,020004,9436067618,PEACEHEALTH,KETCHIKAN GENERAL HOSPITAL,06/15/1976,AK,CORPORATION,,P,3100 TONGASS AVE,,KETCHIKAN,AK,999015746,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021209000027,NJ,00-09,PART A PROVIDER - HOSPITAL,1053316844,N,310061,2668380866,VIRTUA WILLINGBORO HOSPITAL INC,VIRTUA WILLINGBORO HOSPITAL,01/01/1998,NJ,CORPORATION,,N,218A SUNSET ROAD,,WILLINGBORO,NJ,080461110,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021211000024,KS,00-09,PART A PROVIDER - HOSPITAL,1508883422,N,170137,9335057553,LAWRENCE MEMORIAL HOSPITAL,LAWRENCE MEMORIAL HOSPITAL,,,OTHER,INSTRUMENTALITY CITY OF LAWRENCE,N,325 MAINE ST,,LAWRENCE,KS,660441360,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021216000013,FL,00-09,PART A PROVIDER - HOSPITAL,1174523815,N,102001,5092623132,VICTORIA HEALTHCARE INC,SELECT SPECIALTY HOSPITAL - MIAMI,06/21/2001,FL,CORPORATION,,P,955NW3RD ST,,MIAMI,FL,331281274,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,Y,LONG TERM ACUTE CARE HOSPITAL,N,,
O20021216000025,MS,00-09,PART A PROVIDER - HOSPITAL,1952303778,N,252006,0840108999,REGENCY HOSPITAL COMPANY OF MERIDIAN LLC,REGENCY HOSPITAL OF MERIDIAN,10/15/2001,DE,LLC,,P,"1102 CONSTITUTION AVE, 2ND FL",,MERIDIAN,MS,393014001,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20021217000002,OK,00-09,PART A PROVIDER - HOSPITAL,1033185293,N,370216,5092623157,TULSA SPINE & SPECIALTY HOSPITAL,TULSA SPINE HOSPITAL LLC,11/13/2000,OK,LLC,,P,6901 S OLYMPIA AVE,,TULSA,OK,741321813,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,,N,,
O20021217000023,OR,00-09,PART A PROVIDER - HOSPITAL,1346237971,N,380033,6709794092,PEACEHEALTH,SACRED HEART UNIV DISTRICT,06/15/1976,WA,CORPORATION,,N,1255 HILYARD ST,,EUGENE,OR,974013718,OTHER HOSPITAL PRACTICE LOCATION,GENERAL ACUTE CARE HOSPITAL,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021217000028,OR,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1134146939,Y,381320,5294643359,COLUMBIA LUTHERAN CHARITIES,COLUMBIA MEMORIAL HOSPITAL,10/18/1958,OR,CORPORATION,,N,2111 EXCHANGE ST,,ASTORIA,OR,971033329,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021218000018,OH,00-09,PART A PROVIDER - HOSPITAL,1790837235,Y,360118,9830007913,MEDCENTRAL HEALTH SYSTEM,OHIOHEALTH MANSFIELD HOSPITAL,06/17/1903,OH,CORPORATION,,N,335 GLESSNER AVE,,MANSFIELD,OH,449032269,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021219000008,NY,00-09,PART A PROVIDER - HOSPITAL,1891753034,N,330211,8426966508,CLAXTON-HEPBURN MEDICAL CENTER,,01/01/1983,NY,CORPORATION,,N,214 KING ST,,OGDENSBURG,NY,136691142,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,,N,,
O20021220000002,TN,00-09,PART A PROVIDER - HOSPITAL,1336119627,N,440218,3870401961,BAPTIST WOMEN'S HEALTH CENTER LLC,SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY,05/05/1998,TN,LLC,,P,2011 MURPHY AVE,STE 400,NASHVILLE,TN,372032065,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20021223000017,WI,00-09,PART A PROVIDER - HOSPITAL,1427007384,N,520136,7517875628,ASCENSION SE WISCONSIN HOSPITAL INC,ASCENSION SE WISCONSIN HOSPITAL,12/08/1927,WI,CORPORATION,,N,5000 W CHAMBERS ST,,MILWAUKEE,WI,532101650,OTHER HOSPITAL PRACTICE LOCATION,ACUTE CARE HOSPITAL,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,,N,,
