Enrollment ID,Legal Business Name,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Practice Location Phone Number,Specialty Name,Geographic Location Type Description,Geographic Location City Name,Geographic Location State Code,Geographic Location ZIP Code,State County Name
O20210416000228,CATHOLIC HEALTH SYSTEM INFUSION PHARMACY INC,6350 TRANSIT RD,--,DEPEW,NY,14043-1039,(716) 685-4870,HOME INFUSION THERAPY,RENDERING AREA,HAMBURG,NY,--,--
O20210416000228,CATHOLIC HEALTH SYSTEM INFUSION PHARMACY INC,6350 TRANSIT RD,--,DEPEW,NY,14043-1039,(716) 685-4870,HOME INFUSION THERAPY,RENDERING AREA,COWLESVILLE,NY,--,--
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,BAKER
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,BENTON
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,CLATSOP
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,COLUMBIA
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,JACKSON
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,JOSEPHINE
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,840 ROYAL AVE,STE 120,MEDFORD,OR,97504-6461,(541) 732-5566,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,KLAMATH
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,KLAMATH
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,LINCOLN
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,840 ROYAL AVE,STE 120,MEDFORD,OR,97504-6461,(541) 732-5566,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,MALHEUR
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,MULTNOMAH
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,840 ROYAL AVE,STE 120,MEDFORD,OR,97504-6461,(541) 732-5566,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,WASCO
O20210309002322,PROVIDENCE HEALTH & SERVICES OREGON,6410 NE HALSEY ST,STE 400,PORTLAND,OR,97213-4759,(503) 215-4633,HOME INFUSION THERAPY,RENDERING AREA,--,OR,--,LANE
O20210216002291,WALNUT HOME THERAPEUTICS INC,3500 HORIZON DR,--,KING OF PRUSSIA,PA,19406-2659,(215) 890-2788,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,PA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,SUN CITY,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,WALNUT,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,WEST COVINA,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,WESTLAKE VILLAGE,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,WESTMINSTER,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,IMPERIAL BEACH,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,LA HABRA HEIGHTS,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,LAWNDALE,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,MONTEREY PARK,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,CANYON LAKE,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,LA CRESCENTA,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,LA MIRADA,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,LOMA LINDA,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,LAGUNA HILLS,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,BELMONT HEIGHTS,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,CALIMESA,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,CANOGA PARK,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,CANYON COUNTRY,CA,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,LOMITA,CA,--,--
O20210225000879,"KABAFUSION OF MI, LLC",3631 44TH ST SE,STE C,KENTWOOD,MI,49512-3971,(866) 576-0326,HOME INFUSION THERAPY,RENDERING AREA,--,MI,--,--
O20210818002720,PARAGON INFUSION CARE INC,11691 WESTHEIMER RD,STE 1B,HOUSTON,TX,77077-6709,(713) 860-1750,HOME INFUSION THERAPY,RENDERING AREA,COMAL,TX,--,--
O20210818002720,PARAGON INFUSION CARE INC,3033 W PRESIDENT GEORGE BUSH HWY,STE 100-A,PLANO,TX,75075-5752,(972) 588-1000,HOME INFUSION THERAPY,RENDERING AREA,WILSON,TX,--,--
O20210818002720,PARAGON INFUSION CARE INC,1922 DRY CREEK WAY,SUITE 110 PARAGON INFUSION CARE,SAN ANTONIO,TX,78259-1840,(210) 591-6700,HOME INFUSION THERAPY,RENDERING AREA,MEDINO,TX,--,--
O20210818002720,PARAGON INFUSION CARE INC,11691 WESTHEIMER RD,STE 1B,HOUSTON,TX,77077-6709,(713) 860-1750,HOME INFUSION THERAPY,RENDERING AREA,FRIO,TX,--,--
O20210716000514,PATHWAYS HEALTHCARE LLC,75 SOCKANOSSET CROSS RD,STE 210,CRANSTON,RI,02920-5558,(617) 481-9077,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,RI,--,--
O20220803002047,HEALTHCARE EVOLUTION LLC,649 N LEWIS RD,STE 230A,ROYERSFORD,PA,19468-1234,(610) 495-0800,HOME INFUSION THERAPY,RENDERING AREA,--,PA,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,EMINGTON,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,IL,--,COOK
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,IL,--,DEKALB
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,IL,--,DUPAGE
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,IL,--,KENDALL
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,IL,--,WILL
O20210315001667,"OPTIMA CARE HOME HEALTH SERVICES, INC.",4686 ONTARIO MILLS PKWY,STE 201,ONTARIO,CA,91764-5104,(909) 980-0002,HOME INFUSION THERAPY,RENDERING AREA,CARLSBAD,CA,--,--
O20210315001667,"OPTIMA CARE HOME HEALTH SERVICES, INC.",4686 ONTARIO MILLS PKWY,STE 201,ONTARIO,CA,91764-5104,(909) 980-0002,HOME INFUSION THERAPY,RENDERING AREA,ESCONDIDO,CA,--,--
O20210315001667,"OPTIMA CARE HOME HEALTH SERVICES, INC.",4686 ONTARIO MILLS PKWY,STE 201,ONTARIO,CA,91764-5104,(909) 980-0002,HOME INFUSION THERAPY,RENDERING AREA,SOLANA BEACH,CA,--,--
O20210315001667,"OPTIMA CARE HOME HEALTH SERVICES, INC.",4686 ONTARIO MILLS PKWY,STE 201,ONTARIO,CA,91764-5104,(909) 980-0002,HOME INFUSION THERAPY,RENDERING AREA,DESERT CAMP,CA,--,--
O20210315001667,"OPTIMA CARE HOME HEALTH SERVICES, INC.",4686 ONTARIO MILLS PKWY,STE 201,ONTARIO,CA,91764-5104,(909) 980-0002,HOME INFUSION THERAPY,RENDERING AREA,BUENA PARK,CA,--,--
O20210629000233,HEALING HOME HEALTHCARE INC,7000 INFANTRY RIDGE RD,STE 110,MANASSAS,VA,20109-2370,(703) 650-0576,HOME INFUSION THERAPY,RENDERING AREA,--,VA,--,PRINCE WILLIAM
O20221115000486,"GRACIOUS HEART NURSING SERVICES, LLC",1884 WESTVILLE RD,--,MARYDEL,DE,19964-2026,(302) 343-9083,HOME INFUSION THERAPY,RENDERING AREA,--,DE,--,--
O20221115000705,ACCREDO HEALTH GROUP INC,45 ROUTE 46,STE 609,PINE BROOK,NJ,07058-9397,(973) 276-0254,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,NJ,--,--
O20221115000705,ACCREDO HEALTH GROUP INC,45 ROUTE 46,STE 609,PINE BROOK,NJ,07058-9397,(973) 276-0254,HOME INFUSION THERAPY,RENDERING AREA,--,NJ,--,--
O20210326000312,HOME CARE SERVICES INC,160 RARITAN CENTER PARKWAY STE 18,HOME CARE SVCS INC DBA KABAFUSION NJ,EDISON,NJ,08837-3637,(800) 383-8393,HOME INFUSION THERAPY,RENDERING AREA,--,NC,--,--
O20210326000312,HOME CARE SERVICES INC,160 RARITAN CENTER PARKWAY STE 18,HOME CARE SVCS INC DBA KABAFUSION NJ,EDISON,NJ,08837-3637,(800) 383-8393,HOME INFUSION THERAPY,RENDERING AREA,--,CA,--,--
O20210224002277,ACCREDO HEALTH GROUP INC,11411 STRANG LINE RD,STE A,LENEXA,KS,66215-4047,(913) 451-2919,HOME INFUSION THERAPY,RENDERING AREA,--,KS,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,NAVARRO,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,CAMP,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,FRANKLIN,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,COLLIN,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,GRAYSON,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,RED RIVER,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,VAN ZANDT,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,ERATH,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,RUSK,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,DALLAS,TX,--,--
O20210217000391,AMATUS HEALTH CARE LLC,2010 VALLEY VIEW LN,STE 200,FARMERS BRANCH,TX,75234-8915,(972) 249-4999,HOME INFUSION THERAPY,RENDERING AREA,COOKE,TX,--,--
O20210916002510,WESTCARE INC,8811 AMERICAN WAY,STE 150,ENGLEWOOD,CO,80112-7154,(303) 770-5065,HOME INFUSION THERAPY,RENDERING AREA,--,CO,--,DOUGLAS
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,OGLESBY,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,TRIUMPH,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,WEDRON,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,CREST HILL,IL,--,--
O20210625001423,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",121 1/2 BOLIVAR RD,--,WELLSVILLE,NY,14895-1200,(716) 790-8303,HOME INFUSION THERAPY,RENDERING AREA,--,NY,--,ERIE
O20210625001423,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",650 AIRBORNE PKWY,--,CHEEKTOWAGA,NY,14225-1434,(716) 630-8000,HOME INFUSION THERAPY,RENDERING AREA,--,NY,--,NIAGARA
O20210625001423,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",7070 TELEPHONE RD,--,PAVILION,NY,14525-9705,(585) 252-3900,HOME INFUSION THERAPY,RENDERING AREA,--,NY,--,CATTARAUGUS
O20210625001423,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",121 1/2 BOLIVAR RD,--,WELLSVILLE,NY,14895-1200,(716) 790-8303,HOME INFUSION THERAPY,RENDERING AREA,--,NY,--,CATTARAUGUS
O20210625001423,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",650 AIRBORNE PKWY,--,CHEEKTOWAGA,NY,14225-1434,(716) 630-8000,HOME INFUSION THERAPY,RENDERING AREA,--,NY,--,LIVINGSTON
O20210625001423,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",121 1/2 BOLIVAR RD,--,WELLSVILLE,NY,14895-1200,(716) 790-8303,HOME INFUSION THERAPY,RENDERING AREA,--,NY,--,LIVINGSTON
O20201117000563,"INFINITY CARE SERVICES, INC.",1325 N CENTER ST,STE 2A,STOCKTON,CA,95202-1020,(800) 294-1461,HOME INFUSION THERAPY,RENDERING AREA,--,CA,--,SAN JOAQUIN
O20201117000563,"INFINITY CARE SERVICES, INC.",1325 N CENTER ST,STE 2A,STOCKTON,CA,95202-1020,(800) 294-1461,HOME INFUSION THERAPY,RENDERING AREA,--,CA,--,STANISLAUS
O20221216000740,ACCREDO HEALTH GROUP INC,2915 WATERS RD,STE 109,EAGAN,MN,55121-1562,(651) 681-0885,HOME INFUSION THERAPY,RENDERING AREA,--,MN,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,SOUTH WILMINGTON,IL,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,SUPPLIER GR. AREA,--,IL,--,IROQUOIS
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,MANTENO,IL,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,WATSEKA,IL,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,BONFIELD,IL,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,GOODRICH,IL,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,HOPKINS PARK,IL,--,--
O20211014001079,PRESENCE HOME CARE,555 W COURT ST,--,KANKAKEE,IL,60901-3664,(815) 937-2475,HOME INFUSION THERAPY,RENDERING AREA,PEOTONE,IL,--,--
O20210324001896,OPTUM INFUSION SERVICES 200 INC,5895 CORE ROAD SUITE,SUITE 417,N CHARLESTON,SC,29406,(843) 747-0847,HOME INFUSION THERAPY,RENDERING AREA,--,SC,--,--
O20201019001918,HELPING HANDS HOME HEALTH CARE & HOSPICE INC,1710 S AMPHLETT BLVD,STE 122,SAN MATEO,CA,94402-2703,(650) 286-9000,HOME INFUSION THERAPY,RENDERING AREA,--,CA,--,SANTA CLARA
O20220509002548,FACTOR ONE SOURCE PHARMACY LLC,217 GLENN ST,STE 300,CUMBERLAND,MD,21502-2590,(877) 828-3940,HOME INFUSION THERAPY,RENDERING AREA,--,ND,--,--
O20220509002548,FACTOR ONE SOURCE PHARMACY LLC,217 GLENN ST,STE 300,CUMBERLAND,MD,21502-2590,(877) 828-3940,HOME INFUSION THERAPY,RENDERING AREA,--,OK,--,--
O20220509002548,FACTOR ONE SOURCE PHARMACY LLC,217 GLENN ST,STE 300,CUMBERLAND,MD,21502-2590,(877) 828-3940,HOME INFUSION THERAPY,RENDERING AREA,--,RI,--,--
O20220509002548,FACTOR ONE SOURCE PHARMACY LLC,217 GLENN ST,STE 300,CUMBERLAND,MD,21502-2590,(877) 828-3940,HOME INFUSION THERAPY,RENDERING AREA,--,WV,--,--
O20220509002548,FACTOR ONE SOURCE PHARMACY LLC,217 GLENN ST,STE 300,CUMBERLAND,MD,21502-2590,(877) 828-3940,HOME INFUSION THERAPY,RENDERING AREA,--,MT,--,--
O20201118001097,"IV LEAGUE, INC",6076 BRISTOL PKWY,STE 104,CULVER CITY,CA,90230-6600,(310) 645-1500 x 101,HOME INFUSION THERAPY,RENDERING AREA,--,CA,--,--
O20230112001001,AMBER ENTERPRISES INC,4602 N 16TH ST,STE 200,PHOENIX,AZ,85016-5161,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,CO,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,WOODRIDGE,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,MILLINGTON,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,EARLVILLE,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,NEW LENOX,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,ORLAND PARK,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,ROMEOVILLE,IL,--,--
O20220726003369,PRESENCE HOME CARE,50 UNO CIR,STE EAST,JOLIET,IL,60435-8159,(815) 741-7371,HOME INFUSION THERAPY,RENDERING AREA,WILMINGTON,IL,--,--
O20230112001001,AMBER ENTERPRISES INC,4602 N 16TH ST,STE 200,PHOENIX,AZ,85016-5161,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,SD,--,--
O20210317003042,CARE DIMENSIONS OF THE DESERT LLC,74130 CNTY CLUB DR,STE 104,PALM DESERT,CA,92260-1687,(760) 444-0699,HOME INFUSION THERAPY,RENDERING AREA,EL SEGUNDO,CA,--,--
O20211117002138,HOLY MARY HOMEHEALTH CARE INC,1540 E DUNDEE RD,STE 108,PALATINE,IL,60074-8316,(224) 645-7860,HOME INFUSION THERAPY,RENDERING AREA,--,IL,--,WILL
O20211117002138,HOLY MARY HOMEHEALTH CARE INC,1540 E DUNDEE RD,STE 108,PALATINE,IL,60074-8316,(224) 645-7860,HOME INFUSION THERAPY,RENDERING AREA,--,IL,--,KENDALL
O20211117002138,HOLY MARY HOMEHEALTH CARE INC,1540 E DUNDEE RD,STE 108,PALATINE,IL,60074-8316,(224) 645-7860,HOME INFUSION THERAPY,RENDERING AREA,--,IL,--,GRUNDY
